platform,impressions,clicks,conversions,engagement_rate,roi_percentage
Facebook,337902,16863,2397,10.95,260.53
Twitter/X,55468,46064,1872,13.15,283.36
Instagram,86880,17639,1999,11.22,167.96
Google Ads,38963,8741,4126,4.43,164.81
Google Ads,53171,9382,800,5.8,63.99
Facebook,268772,41110,3440,6.88,204.57
TikTok,298799,30953,2703,5.29,93.6
Facebook,172116,43278,3768,10.66,212.22
Google Ads,343546,39597,832,6.66,18.33
Google Ads,175381,42465,380,5.75,195.8
Google Ads,124280,3296,2542,9.71,144.33
Google Ads,381982,22421,4641,4.65,228.95
Twitter/X,251176,13579,880,11.72,132.47
Instagram,404426,47533,4902,5.84,70.37
TikTok,125555,13451,1152,3.67,31.55
Facebook,383268,49365,2405,7.24,295.1
Twitter/X,253374,26284,2445,13.71,246.42
Twitter/X,104010,30142,4810,2.09,171.31
Google Ads,387485,30224,3157,7.0,61.13
TikTok,102628,40664,3832,11.08,234.2
TikTok,269080,19106,3859,7.3,143.65
Facebook,14211,31005,4436,2.01,253.12
TikTok,169405,35605,2210,5.21,230.62
Facebook,98935,9993,3707,3.29,183.41
Google Ads,483581,23437,992,4.73,252.72
Instagram,483900,49175,3745,8.99,205.78
TikTok,362374,37747,405,14.43,249.95
Twitter/X,369225,35555,4484,4.7,134.93
Twitter/X,401641,24451,4091,5.39,71.64
TikTok,122478,22456,4548,5.54,133.57
Facebook,103703,6988,4389,7.05,185.21
Facebook,362172,25527,2019,4.54,91.13
Google Ads,208969,1449,4188,1.97,147.93
Instagram,44055,13412,1122,4.08,115.88
Google Ads,461277,21147,196,13.98,175.38
Twitter/X,288862,16692,308,5.68,271.32
Google Ads,377836,24377,3481,12.56,96.25
Twitter/X,240593,36535,2933,8.14,79.96
Instagram,328643,2928,2048,5.98,126.65
Twitter/X,478255,15446,176,4.28,81.39
Google Ads,133712,8131,1986,3.9,11.4
Google Ads,187095,24009,4492,13.61,48.55
Twitter/X,251144,16574,3965,12.22,139.26
Instagram,182997,9174,2758,6.0,268.83
Google Ads,490765,3367,510,2.94,93.32
Instagram,84263,49408,2161,14.26,102.61
Twitter/X,19869,19792,4332,5.86,258.18
Instagram,300417,35003,1562,2.2,132.32
TikTok,32688,38049,2888,2.4,91.97
Facebook,132572,5300,3523,9.76,193.05
Twitter/X,304589,47945,383,6.14,15.59
Google Ads,211623,35610,2558,4.58,59.16
Facebook,344460,35981,1173,3.13,193.41
Facebook,149887,2906,3896,4.4,178.11
Twitter/X,133602,41676,784,2.07,164.86
TikTok,147099,39792,2300,7.65,74.4
Instagram,66073,31595,549,12.87,118.51
TikTok,21492,17081,3361,9.23,178.8
Instagram,263693,2437,80,9.2,106.43
Twitter/X,459239,5518,3224,10.15,54.97
Instagram,178083,13614,4761,8.66,190.78
Twitter/X,99491,3453,1422,1.93,82.41
Instagram,119959,21111,4966,8.55,264.77
Facebook,474416,29882,2447,11.8,249.36
TikTok,388093,16268,4438,11.39,235.18
Facebook,230744,9790,2646,5.04,221.74
Google Ads,179948,16506,2810,6.64,235.21
Twitter/X,112428,35485,173,3.32,163.69
TikTok,483014,3005,430,11.54,93.88
Google Ads,160611,16390,1631,5.29,213.23
Instagram,461973,13948,4090,14.65,274.43
Twitter/X,12068,23417,492,2.17,151.82
TikTok,416305,33092,1372,4.55,114.83
Facebook,385117,11137,2208,1.73,72.17
TikTok,37776,25064,2656,14.65,225.75
